Padstack Used	Location
ack name in the Bounding Box drawn in the mitikas.mcm file are listed below.
Padstack Used	Location
4503.	"L06-L07"	(-3174.45 -1500.0)
4504.	"L06-L07"	(-3500.0 -1825.55)
4505.	"L06-L07"	(-3750.0 -1750.0)
4506.	"L06-L07"	(-4250.0 -2250.0)
4507.	"L06-L07"	(-4174.45 -2500.0)
4508.	"L08-L09"	(-3894.0 -1894.0)
4509.	"L07-L08"	(-3822.0 -1822.0)
4510.	"L07-L08"	(-4178.0 -2178.0)
4511.	"L08-L09"	(-4106.0 -2106.0)
4512.	"L09-L10"	(-4121.45 -2500.0)
4513.	"L08-L09"	(-4252.51 -2500.0)
4514.	"L07-L08"	(-4213.48 -2593.39)
4515.	"L09-L10"	(-3121.45 -1500.0)
4516.	"L09-L10"	(-3500.0 -1878.55)
4517.	"L09-L10"	(-3878.55 -1500.0)
4518.	"L08-L09"	(-3500.0 -1747.49)
4519.	"L08-L09"	(-3747.49 -1500.0)
4520.	"L08-L09"	(-3252.51 -1500.0)
4521.	"L07-L08"	(-3213.48 -1593.39)
4522.	"L07-L08"	(-3786.52 -1406.61)
4523.	"L07-L08"	(-3593.39 -1786.52)
4524.	"L02-L03"	(-3150.0 -1867.0)
4525.	"L01-L02"	(-3150.0 -1968.0)
4526.	"L02-L03"	(-3510.0 -1867.0)
4527.	"L01-L02"	(-3510.0 -1968.0)
4528.	"L02-L03"	(-3870.0 -1867.0)
4529.	"L01-L02"	(-3870.0 -1968.0)
4530.	"L02-L03"	(-4230.0 -1867.0)
4531.	"L01-L02"	(-4230.0 -1968.0)
4532.	"L02-L03"	(-4347.0 -2294.0)
4533.	"L01-L02"	(-4050.0 -2373.0)
4534.	"L02-L03"	(-3987.0 -2294.0)
4535.	"L01-L02"	(-3690.0 -2373.0)
4536.	"L02-L03"	(-3627.0 -2294.0)
4537.	"L01-L02"	(-3330.0 -2373.0)
4538.	"L02-L03"	(-3267.0 -2294.0)
4539.	"L03-L04"	(-4356.0 -2417.5)
4540.	"L02-L03"	(-4293.0 -2496.5)
4541.	"L01-L02"	(-4230.0 -2575.5)
4542.	"L02-L03"	(-4347.0 -2654.5)
4543.	"L01-L02"	(-4230.0 -2170.5)
4544.	"L01-L02"	(-4050.0 -2170.5)
4545.	"L03-L04"	(-4050.0 -2575.5)
4546.	"L02-L03"	(-3987.0 -2654.5)
4547.	"L01-L02"	(-4050.0 -2575.5)
4548.	"L03-L04"	(-3996.0 -2417.5)
4549.	"L02-L03"	(-3933.0 -2496.5)
4550.	"L01-L02"	(-3870.0 -2575.5)
4551.	"L01-L02"	(-3870.0 -2170.5)
4552.	"L01-L02"	(-3690.0 -2170.5)
4553.	"L03-L04"	(-3690.0 -2575.5)
4554.	"L02-L03"	(-3627.0 -2654.5)
4555.	"L01-L02"	(-3690.0 -2575.5)
4556.	"L03-L04"	(-3636.0 -2417.5)
4557.	"L02-L03"	(-3573.0 -2496.5)
4558.	"L01-L02"	(-3510.0 -2575.5)
4559.	"L01-L02"	(-3510.0 -2170.5)
4560.	"L01-L02"	(-3330.0 -2170.5)
4561.	"L03-L04"	(-3330.0 -2575.5)
4562.	"L02-L03"	(-3267.0 -2654.5)
4563.	"L01-L02"	(-3330.0 -2575.5)
4564.	"L01-L02"	(-3150.0 -2170.5)
4565.	"L03-L04"	(-3276.0 -2417.5)
4566.	"L02-L03"	(-3213.0 -2496.5)
4567.	"L01-L02"	(-3150.0 -2575.5)
4568.	"L01-L02"	(-3250.0 -1275.0)
4569.	"L01-L02"	(-3225.0 -350.0)
4570.	"L08-L09"	(-4106.0 -1106.0)
4571.	"L09-L10"	(-4178.0 -1178.0)
4572.	"L07-L08"	(-4178.0 -1178.0)
4573.	"L07-L08"	(-3406.61 -213.48)
4574.	"L07-L08"	(-3593.39 -786.52)
4575.	"L07-L08"	(-3213.48 -593.39)
4576.	"L07-L08"	(-3786.52 -406.61)
4577.	"L08-L09"	(-3747.49 -500.0)
4578.	"L08-L09"	(-3500.0 -252.51)
4579.	"L08-L09"	(-3252.51 -500.0)
4580.	"L08-L09"	(-3500.0 -747.49)
4581.	"L09-L10"	(-3500.0 -121.45)
4582.	"L09-L10"	(-3121.45 -500.0)
4583.	"L09-L10"	(-3500.0 -878.55)
4584.	"L09-L10"	(-3878.55 -500.0)
4585.	"L07-L08"	(-3822.0 -822.0)
4586.	"L09-L10"	(-3822.0 -822.0)
4587.	"L08-L09"	(-3894.0 -894.0)
4588.	"L08-L09"	(-3106.0 -106.0)
4589.	"L09-L10"	(-3178.0 -178.0)
4590.	"L07-L08"	(-3178.0 -178.0)
4591.	"L06-L07"	(-4250.0 -1250.0)
4592.	"L06-L07"	(-3750.0 -750.0)
4593.	"L06-L07"	(-3500.0 -825.55)
4594.	"L06-L07"	(-3174.45 -500.0)
4595.	"L06-L07"	(-3500.0 -174.45)
4596.	"L06-L07"	(-3250.0 -250.0)
4597.	"L06-L07"	(-3825.55 -500.0)
4598.	"L04-L05"	(-4155.0 -1275.0)
4599.	"L06-L07"	(-4250.0 -250.0)
4600.	"L06-L07"	(-4174.45 -500.0)
4601.	"L06-L07"	(-3250.0 -1250.0)
4602.	"L06-L07"	(-3500.0 -1174.45)
4603.	"L07-L08"	(-4178.0 -178.0)
4604.	"L08-L09"	(-4106.0 -106.0)
4605.	"L07-L08"	(-3178.0 -1178.0)
4606.	"L08-L09"	(-3106.0 -1106.0)
4607.	"L09-L10"	(-4121.45 -500.0)
4608.	"L08-L09"	(-4252.51 -500.0)
4609.	"L07-L08"	(-4213.48 -593.39)
4610.	"L09-L10"	(-3500.0 -1121.45)
4611.	"L08-L09"	(-3500.0 -1252.51)
4612.	"L07-L08"	(-3406.61 -1213.48)
4613.	"L01-L02"	(-4350.0 650.0)
4614.	"L06-L07"	(-4250.0 750.0)
4615.	"L06-L07"	(-4174.45 500.0)
4616.	"L07-L08"	(-4178.0 822.0)
4617.	"L09-L10"	(-4178.0 822.0)
4618.	"L08-L09"	(-4106.0 894.0)
4619.	"L09-L10"	(-4121.45 500.0)
4620.	"L08-L09"	(-4252.51 500.0)
4621.	"L07-L08"	(-4213.48 406.61)
4622.	"L04-L05"	(-3185.0 505.0)
4623.	"L04-L05"	(-4170.0 215.0)
4624.	"L06-L07"	(-3825.55 500.0)
4625.	"L06-L07"	(-3250.0 750.0)
4626.	"L06-L07"	(-3500.0 825.55)
4627.	"L06-L07"	(-3174.45 500.0)
4628.	"L06-L07"	(-3500.0 174.45)
4629.	"L06-L07"	(-3750.0 250.0)
4630.	"L08-L09"	(-3894.0 106.0)
4631.	"L07-L08"	(-3822.0 178.0)
4632.	"L07-L08"	(-3178.0 822.0)
4633.	"L08-L09"	(-3106.0 894.0)
4634.	"L09-L10"	(-3500.0 121.45)
4635.	"L09-L10"	(-3500.0 878.55)
4636.	"L09-L10"	(-3878.55 500.0)
4637.	"L09-L10"	(-3121.45 500.0)
4638.	"L08-L09"	(-3500.0 252.51)
4639.	"L08-L09"	(-3500.0 747.49)
4640.	"L08-L09"	(-3747.49 500.0)
4641.	"L08-L09"	(-3252.51 500.0)
4642.	"L07-L08"	(-3406.61 786.52)
4643.	"L07-L08"	(-3213.48 406.61)
4644.	"L07-L08"	(-3786.52 593.39)
4645.	"L07-L08"	(-3593.39 213.48)
4646.	"L03-L04"	(-4313.0 13.0)
4647.	"L02-L03"	(-4312.5 150.0)
4648.	"L02-L03"	(-4103.0 434.0)
4649.	"L02-L03"	(-4142.5 -13.0)
4650.	"L03-L04"	(-4078.0 579.0)
4651.	"L02-L03"	(-3998.0 667.0)
4652.	"L02-L03"	(-3957.5 370.0)
4653.	"L02-L03"	(-3957.5 -15.0)
4654.	"L02-L03"	(-3801.0 349.0)
4655.	"L02-L03"	(-3782.5 -40.0)
4656.	"L03-L04"	(-3692.0 642.0)
4657.	"L02-L03"	(-3677.0 539.0)
4658.	"L02-L03"	(-3548.0 364.0)
4659.	"L02-L03"	(-3597.5 -24.0)
4660.	"L02-L03"	(-3390.0 377.0)
4661.	"L03-L04"	(-3306.0 756.0)
4662.	"L02-L03"	(-3230.5 860.0)
4663.	"L02-L03"	(-3422.5 -28.0)
4664.	"L03-L04"	(-3412.0 536.0)
4665.	"L02-L03"	(-3275.0 535.0)
4666.	"L02-L03"	(-3234.0 363.0)
4667.	"L02-L03"	(-3253.0 -17.0)
4668.	"L03-L04"	(-3102.0 670.0)
4669.	"L03-L04"	(-3097.0 219.0)
4670.	"L04-L05"	(-2580.0 -16980.0)
4671.	"L04-L05"	(-2580.0 -16150.0)
4672.	"L01-L02"	(-2525.0 -16200.0)
4673.	"L01-L02"	(-2950.0 -16850.0)
4674.	"L01-L02"	(-2475.0 -16625.0)
4675.	"L08-L10"	(-1875.0 -16517.0)
4676.	"L08-L10"	(-2275.0 -15973.0)
4677.	"L08-L10"	(-2582.0 -15973.0)
4678.	"L09-L10"	(-2230.0 -15770.0)
4679.	"L08-L09"	(-2295.0 -15690.0)
4680.	"L03-L04"	(-2645.0 -15746.0)
4681.	"SMALL_PTH"	(-2500.0 -15500.0)
4682.	"L04-L05"	(-2645.0 -15645.0)
4683.	"L07-L08"	(-2591.0 -15765.0)
4684.	"L06-L07"	(-2645.0 -15645.0)
4685.	"L08-L09"	(-2685.0 -15705.0)
4686.	"L09-L10"	(-2770.0 -15770.0)
4687.	"L03-L04"	(-2355.0 -15746.0)
4688.	"L04-L05"	(-2355.0 -15645.0)
4689.	"L01-L02"	(-2355.0 -15746.0)
4690.	"L02-L03"	(-2355.0 -15645.0)
4691.	"L01-L02"	(-2645.0 -15746.0)
4692.	"L02-L03"	(-2645.0 -15645.0)
4693.	"L07-L08"	(-2295.0 -15824.0)
4694.	"L06-L07"	(-2355.0 -15645.0)
4695.	"L04-L05"	(-1741.0 -16402.0)
4696.	"L08-L10"	(-2587.0 -16972.0)
4697.	"L07-L08"	(-3001.0 -15858.0)
4698.	"L06-L07"	(-3000.0 -15738.0)
4699.	"L04-L05"	(-2868.0 -15815.0)
4700.	"L07-L08"	(-2008.0 -16573.0)
4701.	"L06-L07"	(-2007.0 -16729.0)
4702.	"SMALL_PTH"	(-2000.0 -17000.0)
4703.	"L04-L05"	(-2003.0 -16701.0)
4704.	"L03-L04"	(-2001.0 -16526.0)
4705.	"L02-L03"	(-1867.0 -16462.0)
4706.	"L06-L07"	(-1997.0 -15763.0)
4707.	"SMALL_PTH"	(-2000.0 -16000.0)
4708.	"L04-L05"	(-2003.0 -15751.0)
4709.	"L08-L09"	(-2705.0 -16310.0)
4710.	"L06-L07"	(-2645.0 -16645.0)
4711.	"L07-L08"	(-2250.0 -16380.0)
4712.	"L06-L07"	(-2355.0 -16355.0)
4713.	"L06-L07"	(-2355.0 -16645.0)
4714.	"L08-L09"	(-2310.0 -16295.0)
4715.	"L09-L10"	(-2230.0 -16770.0)
4716.	"L08-L09"	(-2295.0 -16690.0)
4717.	"L09-L10"	(-2230.0 -16230.0)
4718.	"L07-L08"	(-2380.0 -16750.0)
4719.	"L09-L10"	(-2770.0 -16770.0)
4720.	"L08-L09"	(-2685.0 -16705.0)
4721.	"L07-L08"	(-2593.0 -16777.0)
4722.	"L06-L07"	(-2645.0 -16355.0)
4723.	"L07-L08"	(-2614.0 -16212.0)
4724.	"L09-L10"	(-2770.0 -16230.0)
4725.	"L04-L05"	(-2265.0 -14790.0)
4726.	"L04-L05"	(-2905.0 -15425.0)
4727.	"L01-L02"	(-2350.0 -14650.0)
4728.	"L09-L10"	(-2230.0 -15230.0)
4729.	"L08-L09"	(-2310.0 -15295.0)
4730.	"L07-L08"	(-2250.0 -15380.0)
4731.	"L06-L07"	(-2355.0 -15355.0)
4732.	"L01-L02"	(-2355.0 -15456.0)
4733.	"L02-L03"	(-2355.0 -15355.0)
4734.	"L04-L05"	(-2355.0 -15355.0)
4735.	"L02-L03"	(-2645.0 -15355.0)
4736.	"L01-L02"	(-2645.0 -15456.0)
4737.	"L03-L04"	(-2645.0 -15456.0)
4738.	"L07-L08"	(-2687.0 -15481.0)
4739.	"L06-L07"	(-2645.0 -15355.0)
4740.	"L04-L05"	(-2645.0 -15355.0)
4741.	"L09-L10"	(-2770.0 -15230.0)
4742.	"L08-L09"	(-2705.0 -15310.0)
4743.	"L03-L04"	(-2355.0 -15456.0)
4744.	"L08-L10"	(-3076.0 -15553.0)
4745.	"L08-L10"	(-1944.0 -14995.0)
4746.	"L04-L05"	(-1900.0 -15445.0)
4747.	"L07-L08"	(-2750.0 -14620.0)
4748.	"L07-L08"	(-2371.0 -14926.0)
4749.	"L09-L10"	(-2770.0 -14770.0)
4750.	"L09-L10"	(-2230.0 -14770.0)
4751.	"L08-L09"	(-2464.0 -15013.0)
4752.	"L08-L09"	(-2685.0 -14705.0)
4753.	"L07-L08"	(-3047.0 -14607.0)
4754.	"L06-L07"	(-3000.0 -14761.0)
4755.	"L07-L08"	(-1997.0 -15539.0)
4756.	"L03-L04"	(-1843.0 -15607.0)
4757.	"L07-L08"	(-1896.0 -14746.0)
4758.	"L06-L07"	(-2000.0 -14745.0)
4759.	"SMALL_PTH"	(-2000.0 -15000.0)
4760.	"L04-L05"	(-2272.0 -15060.0)
4761.	"L07-L08"	(-2503.0 -14590.0)
4762.	"L06-L07"	(-2500.0 -14734.0)
4763.	"SMALL_PTH"	(-2500.0 -14500.0)
4764.	"L04-L05"	(-2659.0 -14668.0)
4765.	"L03-L04"	(-2662.0 -14468.0)
4766.	"L02-L03"	(-2547.0 -14341.0)
4767.	"L04-L05"	(-1985.0 -13485.0)
4768.	"L01-L02"	(-3025.0 -13700.0)
4769.	"L09-L10"	(-2230.0 -13770.0)
4770.	"L08-L09"	(-2400.0 -13898.0)
4771.	"L09-L10"	(-2230.0 -13230.0)
4772.	"L08-L09"	(-2400.0 -13305.0)
4773.	"L07-L08"	(-2410.0 -13466.0)
4774.	"L06-L07"	(-2355.0 -13355.0)
4775.	"L01-L02"	(-2355.0 -13456.0)
4776.	"L02-L03"	(-2355.0 -13355.0)
4777.	"L04-L05"	(-2355.0 -13355.0)
4778.	"L02-L03"	(-2645.0 -13355.0)
4779.	"L01-L02"	(-2645.0 -13456.0)
4780.	"L03-L04"	(-2645.0 -13456.0)
4781.	"L03-L04"	(-2645.0 -13746.0)
4782.	"L07-L08"	(-2620.0 -13250.0)
4783.	"L06-L07"	(-2645.0 -13355.0)
4784.	"L04-L05"	(-2645.0 -13355.0)
4785.	"SMALL_PTH"	(-2500.0 -13500.0)
4786.	"L04-L05"	(-2645.0 -13645.0)
4787.	"L07-L08"	(-2685.0 -13512.0)
4788.	"L06-L07"	(-2645.0 -13645.0)
4789.	"L08-L09"	(-2685.0 -13705.0)
4790.	"L09-L10"	(-2770.0 -13770.0)
4791.	"L09-L10"	(-2770.0 -13230.0)
4792.	"L08-L09"	(-2705.0 -13310.0)
4793.	"L03-L04"	(-2355.0 -13746.0)
4794.	"L04-L05"	(-2355.0 -13645.0)
4795.	"L01-L02"	(-2355.0 -13746.0)
4796.	"L02-L03"	(-2355.0 -13645.0)
4797.	"L01-L02"	(-2645.0 -13746.0)
4798.	"L02-L03"	(-2645.0 -13645.0)
4799.	"L03-L04"	(-2355.0 -13456.0)
4800.	"L07-L08"	(-2380.0 -13750.0)
4801.	"L06-L07"	(-2355.0 -13645.0)
4802.	"L08-L10"	(-2651.0 -14099.0)
4803.	"L04-L05"	(-2980.0 -13295.0)
4804.	"L07-L08"	(-2620.0 -14250.0)
4805.	"L09-L10"	(-2770.0 -14230.0)
4806.	"L09-L10"	(-2230.0 -14230.0)
4807.	"L08-L09"	(-2414.0 -14228.0)
4808.	"L07-L08"	(-2372.0 -14125.0)
4809.	"L08-L09"	(-2705.0 -14310.0)
4810.	"L07-L08"	(-3047.0 -13504.0)
4811.	"L06-L07"	(-3000.0 -13714.0)
4812.	"L04-L05"	(-2709.0 -14000.0)
4813.	"L06-L07"	(-2210.0 -13000.0)
4814.	"SMALL_PTH"	(-2000.0 -13000.0)
4815.	"L03-L04"	(-2123.0 -13170.0)
4816.	"L02-L03"	(-1913.0 -13170.0)
4817.	"L07-L08"	(-2708.0 -13967.0)
4818.	"L06-L07"	(-2402.0 -13985.0)
4819.	"SMALL_PTH"	(-2000.0 -14000.0)
4820.	"L04-L05"	(-1988.0 -13754.0)
4821.	"L08-L10"	(-2393.0 -12010.0)
4822.	"L08-L10"	(-1897.0 -12054.0)
4823.	"L04-L05"	(-2805.0 -12330.0)
4824.	"L04-L05"	(-2005.0 -11675.0)
4825.	"L04-L05"	(-2980.0 -11745.0)
4826.	"L02-L03"	(-2007.0 -12028.0)
4827.	"L01-L02"	(-2070.0 -11949.0)
4828.	"L01-L02"	(-2070.0 -12556.5)
4829.	"L02-L03"	(-2070.0 -12455.0)
4830.	"L02-L03"	(-2790.0 -12455.0)
4831.	"L01-L02"	(-2790.0 -12354.0)
4832.	"L02-L03"	(-2430.0 -12455.0)
4833.	"L01-L02"	(-2430.0 -12354.0)
4834.	"L02-L03"	(-2610.0 -12455.5)
4835.	"L01-L02"	(-2610.0 -12556.5)
4836.	"L02-L03"	(-2250.0 -12455.0)
4837.	"L01-L02"	(-2250.0 -12556.5)
4838.	"L02-L03"	(-1890.0 -12455.0)
4839.	"L01-L02"	(-1890.0 -12354.0)
4840.	"L01-L02"	(-2610.0 -11949.0)
4841.	"L02-L03"	(-2547.0 -12028.0)
4842.	"L02-L03"	(-2907.0 -12028.0)
4843.	"L01-L02"	(-2970.0 -11949.0)
4844.	"L02-L03"	(-2970.0 -12455.5)
4845.	"L01-L02"	(-2970.0 -12556.5)
4846.	"L02-L03"	(-3033.0 -11825.5)
4847.	"L01-L02"	(-2970.0 -11746.5)
4848.	"L01-L02"	(-2970.0 -12151.5)
4849.	"L01-L02"	(-2790.0 -12151.5)
4850.	"L03-L04"	(-2790.0 -11746.5)
4851.	"L01-L02"	(-2790.0 -11746.5)
4852.	"L06-L07"	(-3000.0 -12737.0)
4853.	"L04-L05"	(-2959.0 -12758.0)
4854.	"L03-L04"	(-2736.0 -11904.5)
4855.	"L02-L03"	(-2673.0 -11825.5)
4856.	"L01-L02"	(-2610.0 -11746.5)
4857.	"L01-L02"	(-2610.0 -12151.5)
4858.	"L01-L02"	(-2430.0 -12151.5)
4859.	"L01-L02"	(-2430.0 -11746.5)
4860.	"L03-L04"	(-2430.0 -11746.5)
4861.	"L01-L02"	(-2250.0 -11746.5)
4862.	"L07-L08"	(-2320.0 -12873.0)
4863.	"L04-L05"	(-1868.0 -12831.0)
4864.	"L03-L04"	(-1836.0 -11904.5)
4865.	"L09-L10"	(-3078.0 -12420.0)
4866.	"L08-L09"	(-2919.0 -12421.0)
4867.	"SMALL_PTH"	(-2500.0 -11500.0)
4868.	"L08-L09"	(-1825.0 -12324.0)
4869.	"L09-L10"	(-2012.0 -12447.0)
4870.	"L01-L02"	(-2070.0 -11746.5)
4871.	"L01-L02"	(-1890.0 -12151.5)
4872.	"L03-L04"	(-1890.0 -11746.5)
4873.	"L01-L02"	(-1890.0 -11746.5)
4874.	"L04-L05"	(-2920.0 -11420.0)
4875.	"L08-L10"	(-2378.0 -11029.0)
4876.	"L04-L05"	(-2904.0 -11139.0)
4877.	"L01-L02"	(-2790.0 -11139.0)
4878.	"L02-L03"	(-2727.0 -11060.0)
4879.	"L03-L04"	(-2790.0 -11139.0)
4880.	"L03-L04"	(-1890.0 -11139.0)
4881.	"L02-L03"	(-1953.0 -11060.0)
4882.	"L01-L02"	(-1890.0 -11139.0)
4883.	"L03-L04"	(-2556.0 -11139.0)
4884.	"L02-L03"	(-2493.0 -11060.0)
4885.	"L01-L02"	(-2430.0 -11139.0)
4886.	"L04-L05"	(-2662.0 -11140.0)
4887.	"L01-L02"	(-2610.0 -11139.0)
4888.	"L01-L02"	(-2430.0 -10635.0)
4889.	"L01-L02"	(-2610.0 -10936.5)
4890.	"L01-L02"	(-1890.0 -10936.5)
4891.	"L01-L02"	(-2070.0 -10635.0)
4892.	"L01-L02"	(-2250.0 -10936.5)
4893.	"L01-L02"	(-2790.0 -10635.0)
4894.	"L01-L02"	(-2970.0 -10936.5)
4895.	"L09-L10"	(-2230.0 -10770.0)
4896.	"L09-L10"	(-2770.0 -10770.0)
4897.	"L02-L03"	(-2187.0 -11218.0)
4898.	"L01-L02"	(-2250.0 -11139.0)
4899.	"L01-L02"	(-2070.0 -11139.0)
4900.	"L02-L03"	(-2133.0 -11060.0)
4901.	"L02-L03"	(-2907.0 -11060.0)
4902.	"L01-L02"	(-2970.0 -11139.0)
4903.	"L01-L02"	(-2610.0 -11341.5)
4904.	"L02-L03"	(-2673.0 -11420.5)
4905.	"L01-L02"	(-2430.0 -11544.0)
4906.	"L02-L03"	(-2511.0 -11605.0)
4907.	"L01-L02"	(-1890.0 -11544.0)
4908.	"L02-L03"	(-1979.0 -11636.0)
4909.	"L01-L02"	(-2790.0 -11544.0)
4910.	"L02-L03"	(-2871.0 -11605.0)
4911.	"L02-L03"	(-3087.0 -11667.5)
4912.	"L02-L03"	(-3033.0 -11420.5)
4913.	"L01-L02"	(-2970.0 -11341.5)
4914.	"L02-L03"	(-2727.0 -11667.5)
4915.	"L01-L02"	(-2430.0 -11341.5)
4916.	"L02-L03"	(-2367.0 -11262.5)
4917.	"L03-L04"	(-2430.0 -11341.5)
4918.	"L02-L03"	(-2367.0 -11667.5)
4919.	"L01-L02"	(-2250.0 -11341.5)
4920.	"L02-L03"	(-2313.0 -11420.5)
4921.	"L03-L04"	(-2376.0 -11499.5)
4922.	"L08-L09"	(-2315.0 -11295.0)
4923.	"L09-L10"	(-2230.0 -11230.0)
4924.	"L04-L05"	(-2266.0 -11250.0)
4925.	"L06-L07"	(-2355.0 -11355.0)
4926.	"L07-L08"	(-2311.0 -11515.0)
4927.	"L03-L04"	(-2070.0 -11341.5)
4928.	"L02-L03"	(-2007.0 -11262.5)
4929.	"L01-L02"	(-2070.0 -11341.5)
4930.	"L02-L03"	(-1827.0 -11667.5)
4931.	"L08-L09"	(-2938.0 -10762.0)
4932.	"L09-L10"	(-3067.0 -10639.0)
4933.	"L03-L04"	(-2016.0 -11499.5)
4934.	"L02-L03"	(-1953.0 -11420.5)
4935.	"L01-L02"	(-1890.0 -11341.5)
4936.	"L06-L07"	(-1891.0 -11456.0)
4937.	"SMALL_PTH"	(-1894.0 -11193.0)
4938.	"L08-L10"	(-2942.0 -10063.0)
4939.	"L02-L03"	(-2538.0 -9986.0)
4940.	"L01-L02"	(-2610.0 -9915.0)
4941.	"L02-L03"	(-2358.0 -9806.0)
4942.	"L01-L02"	(-2430.0 -9735.0)
4943.	"L02-L03"	(-1818.0 -9266.0)
4944.	"L01-L02"	(-1890.0 -9195.0)
4945.	"L02-L03"	(-1818.0 -9986.0)
4946.	"L01-L02"	(-1890.0 -9915.0)
4947.	"L02-L03"	(-3050.0 -10047.0)
4948.	"L02-L03"	(-2689.0 -9630.0)
4949.	"L02-L03"	(-2358.0 -9446.0)
4950.	"L01-L02"	(-2610.0 -9555.0)
4951.	"L01-L02"	(-2430.0 -9375.0)
4952.	"L01-L02"	(-2610.0 -9195.0)
4953.	"L02-L03"	(-3078.0 -9806.0)
4954.	"L02-L03"	(-3078.0 -9446.0)
4955.	"L03-L04"	(-2692.55 -9491.0)
4956.	"L04-L05"	(-2800.55 -9535.0)
4957.	"L04-L05"	(-2727.0 -9779.0)
4958.	"L03-L04"	(-2804.0 -9849.0)
4959.	"L03-L04"	(-2519.0 -9695.55)
4960.	"L04-L05"	(-2447.0 -9773.55)
4961.	"L04-L05"	(-2505.0 -9181.45)
4962.	"L03-L04"	(-2454.0 -9284.45)
4963.	"L04-L05"	(-2184.45 -9514.0)
4964.	"L03-L04"	(-2272.45 -9573.0)
4965.	"L03-L04"	(-2170.0 -9175.0)
4966.	"L04-L05"	(-2249.0 -9250.0)
4967.	"L02-L03"	(-1818.0 -9626.0)
4968.	"L01-L02"	(-1890.0 -9555.0)
4969.	"L02-L03"	(-2314.0 -10075.0)
4970.	"L01-L02"	(-2430.0 -10095.0)
4971.	"L08-L10"	(-1882.0 -9969.0)
4972.	"L08-L10"	(-2942.0 -9593.0)
4973.	"L01-L02"	(-1890.0 -9375.0)
4974.	"L01-L02"	(-2430.0 -9915.0)
4975.	"L01-L02"	(-2610.0 -10095.0)
4976.	"L01-L02"	(-2610.0 -9735.0)
4977.	"L01-L02"	(-2430.0 -9555.0)
4978.	"L02-L03"	(-2006.0 -9822.0)
4979.	"L03-L04"	(-1904.0 -9827.0)
4980.	"L04-L05"	(-1727.0 -9779.0)
4981.	"L04-L05"	(-1800.55 -9535.0)
4982.	"L02-L03"	(-2988.0 -9314.0)
4983.	"L03-L04"	(-2931.45 -9440.0)
4984.	"L01-L02"	(-1890.0 -10095.0)
4985.	"L01-L02"	(-2430.0 -9195.0)
4986.	"L01-L02"	(-2610.0 -9375.0)
4987.	"L01-L02"	(-1890.0 -9735.0)
4988.	"L01-L02"	(-2430.0 -10275.0)
4989.	"L09-L10"	(-2230.0 -10230.0)
4990.	"L09-L10"	(-2770.0 -10230.0)
4991.	"L09-L10"	(-2204.0 -9204.0)
4992.	"L08-L09"	(-2042.0 -9503.0)
4993.	"L09-L10"	(-1892.0 -9504.0)
4994.	"L08-L09"	(-3018.0 -9769.0)
4995.	"L08-L10"	(-2051.0 -8330.0)
4996.	"L02-L03"	(-3078.0 -8366.0)
4997.	"L02-L03"	(-1818.0 -8906.0)
4998.	"L01-L02"	(-1890.0 -8835.0)
4999.	"L02-L03"	(-1818.0 -8546.0)
5000.	"L01-L02"	(-1890.0 -8475.0)
5001.	"L02-L03"	(-2358.0 -9086.0)
5002.	"L01-L02"	(-2430.0 -9015.0)
5003.	"L02-L03"	(-2699.0 -9120.0)
5004.	"L02-L03"	(-1818.0 -8186.0)
5005.	"L01-L02"	(-1890.0 -8115.0)
5006.	"L02-L03"	(-2358.0 -8726.0)
5007.	"L01-L02"	(-2430.0 -8655.0)
5008.	"L02-L03"	(-2538.0 -8906.0)
5009.	"L01-L02"	(-2610.0 -8835.0)
5010.	"L02-L03"	(-2358.0 -8366.0)
5011.	"L01-L02"	(-2430.0 -8295.0)
5012.	"L02-L03"	(-2538.0 -8546.0)
5013.	"L01-L02"	(-2610.0 -8475.0)
5014.	"L02-L03"	(-3031.0 -8959.0)
5015.	"L02-L03"	(-3078.0 -8006.0)
5016.	"L02-L03"	(-2358.0 -8006.0)
5017.	"L01-L02"	(-2430.0 -7935.0)
5018.	"L02-L03"	(-2704.0 -8056.0)
5019.	"L01-L02"	(-2610.0 -8115.0)
5020.	"L02-L03"	(-3078.0 -8726.0)
5021.	"L04-L05"	(-1800.55 -8535.0)
5022.	"L04-L05"	(-1727.0 -8779.0)
5023.	"L03-L04"	(-1858.0 -8769.0)
5024.	"L03-L04"	(-3080.45 -8535.0)
5025.	"L08-L10"	(-2155.0 -8008.0)
5026.	"L08-L10"	(-1818.0 -8929.0)
5027.	"L08-L10"	(-2913.0 -9088.0)
5028.	"L08-L10"	(-2540.0 -8931.0)
5029.	"L08-L10"	(-2874.0 -8305.0)
5030.	"L01-L02"	(-1890.0 -9015.0)
5031.	"L02-L03"	(-2348.0 -8189.0)
5032.	"L03-L04"	(-2423.0 -8120.45)
5033.	"L04-L05"	(-2505.0 -8181.45)
5034.	"L04-L05"	(-2249.0 -8250.0)
5035.	"L02-L03"	(-2215.0 -8273.0)
5036.	"L03-L04"	(-2170.0 -8175.0)
5037.	"L03-L04"	(-1917.0 -7923.0)
5038.	"L02-L03"	(-2745.0 -8760.0)
5039.	"L03-L04"	(-2804.0 -8849.0)
5040.	"L04-L05"	(-2727.0 -8779.0)
5041.	"L04-L05"	(-2447.0 -8773.55)
5042.	"L02-L03"	(-2284.0 -8915.0)
